id,gender,height,length_RFoot,grades,born_QroCity,micro_1stChoice,like_BioStat,Time2School
agm,masculino,"178,00","27,00","8,60",yes,yes,yes,"115,00"
aht,femenino,"160,00","24,00","8,25",no,yes,yes,"15,00"
ajtr,masculino,"170,00","28,00","8,25",no,yes,sometimes,"24,00"
cmar,femenino,"169,00","24,50","8,60",no,no,sometimes,"50,00"
dcb,masculino,"169,00","26,50","8,80",no,yes,yes,"25,00"
edmr,masculino,"179,00","27,20","8,75",yes,yes,sometimes,"70,00"
eira,femenino,"159,00","24,50","9,08",yes,yes,yes,"35,00"
ffmv,masculino,"170,00","26,00","8,50",no,yes,yes,"12,00"
jaf,masculino,"163,00","26,00","8,75",no,yes,yes,"30,00"
jg,masculino,"175,00","27,50","8,60",no,no,yes,"120,00"
jroh,masculino,"185,00","29,00","8,00",no,no,sometimes,"120,00"
lccm,femenino,"158,00","24,00","8,10",yes,no,yes,"30,00"
mam,femenino,"168,00","25,50","8,83",yes,yes,sometimes,"65,00"
mbmv,femenino,"163,00","25,00","9,00",no,no,yes,"60,00"
mcra,femenino,"156,00","23,00","8,20",yes,yes,yes,"20,00"
mevg,masculino,"170,00","28,00","8,98",no,yes,sometimes,"120,00"
mfhm,femenino,"158,00","23,00","8,30",yes,yes,sometimes,"120,00"
mmc,masculino,"175,00","24,50","8,83",yes,yes,yes,"55,00"
oimg,masculino,"165,00","27,00","8,50",yes,yes,yes,"10,00"
rmp,femenino,"164,00","25,50","8,90",no,no,yes,"40,00"
vdhg,masculino,"178,00","29,00","8,00",yes,yes,yes,"15,00"
vmto,femenino,"175,00","24,50","8,80",yes,no,yes,"60,00"
arl,masculino,"166,00","24,00","8,00",no,yes,no,"30,00"
necs,femenino,"162,00","25,50","8,30",no,no,no,"30,00"
pmg,femenino,"169,00","24,00","8,10",no,no,yes,"9,00"
jrv,masculino,"170,00","27,00","8,50",no,yes,no,"30,00"
smom,femenino,"153,00","22,50","8,55",no,yes,no,"40,00"
larc,femenino,"156,00","24,50","7,90",no,no,sometimes,"13,00"
acvr,femenino,"162,00","24,00","8,30",no,yes,yes,"13,00"
mgb,femenino,"156,00","24,50","9,40",no,yes,sometimes,"15,00"
gcr,femenino,"149,00","23,50","7,90",no,yes,yes,"90,00"
amlp,femenino,"156,00","23,00","8,10",yes,yes,no,"30,00"
msr,masculino,"169,00","27,00","7,90",yes,yes,no,"60,00"
kavs,masculino,"179,00","29,00","9,20",yes,no,yes,"55,00"
mlbg,femenino,"156,00","24,00","7,90",yes,no,sometimes,"60,00"
ccmr,femenino,"156,00","24,00","8,00",yes,no,sometimes,"60,00"
vmrm,masculino,"166,00","28,00","8,70",yes,yes,sometimes,"30,00"
jcth,masculino,"170,00","26,00","8,00",yes,no,sometimes,"120,00"
