"equipo","id","suelo","frijol","peso_semilla","ger","fecha_ger","orden_ger","altura","peso_seco"
1,2,"inoculo","negro",0.1888,"si","01/09",5,20,0.21
1,3,"inoculo","negro",0.3906,"si","28/08",4,30,0.553
1,4,"inoculo","negro",0.2642,"si","01/09",5,56,0.315
1,6,"inoculo","negro",0.3338,"si","01/09",5,75,0.621
1,9,"inoculo","negro",0.2821,"si","01/09",5,33,0.104
1,10,"inoculo","negro",0.2554,"si","01/09",5,26.5,0.474
1,11,"inoculo","peruano",0.2797,"si","28/08",4,31.5,0.521
1,12,"inoculo","peruano",0.2372,"si","25/08",3,53,0.227
1,13,"inoculo","peruano",0.3855,"si","28/08",4,33,0.73
1,14,"inoculo","peruano",0.3668,"si","21/08",1,30.5,0.237
1,15,"inoculo","peruano",0.4931,"si","25/08",3,77,1.016
1,16,"inoculo","peruano",0.2599,"si","25/08",3,87,0.755
1,17,"inoculo","peruano",0.2991,"si","25/08",3,70,0.705
1,18,"inoculo","peruano",0.3011,"si","25/08",3,48,0.633
1,19,"inoculo","peruano",0.2872,"si","25/08",3,88,0.793
1,20,"inoculo","peruano",0.3824,"si","01/09",5,46.5,1.026
1,21,"esteril","peruano",0.3324,"si","01/09",5,34,0.213
1,22,"esteril","peruano",0.2926,"si","23/08",2,56,0.848
1,24,"esteril","peruano",0.2731,"si","01/09",5,65,0.217
1,25,"esteril","peruano",0.5533,"si","01/09",5,65,0.419
1,26,"esteril","peruano",0.2045,"si","25/08",3,54,0.333
1,28,"esteril","peruano",0.2943,"si","21/08",1,53,0.506
1,30,"esteril","peruano",0.3005,"si","25/08",3,53,0.777
1,31,"esteril","negro",0.3399,"si","01/09",5,19.5,0.665
1,39,"esteril","negro",0.3098,"si","01/09",5,30.5,0.596
1,40,"esteril","negro",0.3183,"si","01/09",5,52,0.752
2,48,"esteril","negro",0.3823,"si","28/08",4,61.83,0.4162
2,51,"inoculo","negro",0.2939,"si","25/08",3,70,0.3592
2,52,"inoculo","negro",0.3009,"si","01/09",5,11.5,0.292
2,53,"inoculo","negro",0.3117,"si","28/08",4,54.66,0.5861
2,56,"inoculo","negro",0.3634,"si","25/08",3,77.16,0.934
2,61,"esteril","peruano",0.4724,"si","25/08",3,73.4,1.0571
2,66,"esteril","peruano",0.3222,"si","23/08",2,45.3,0.623
2,67,"esteril","peruano",0.35,"si","25/08",3,64.33,0.4611
2,68,"esteril","peruano",0.2738,"si","25/08",3,30.83,0.16
2,73,"inoculo","peruano",0.3278,"si","28/08",4,61,0.53
2,75,"inoculo","peruano",0.341,"si","25/08",3,47.5,0.7256
2,76,"inoculo","peruano",0.2955,"si","23/08",3,31.83,0.326
3,83,"esteril","negro",0.2722,"si","25/08",3,39,0.7169
3,84,"esteril","negro",0.4421,"si","25/08",3,94,1.1907
3,93,"esteril","peruano",0.4545,"si","25/08",3,63,0.8235
3,95,"esteril","peruano",0.6097,"si","25/08",3,99,1.0546
3,96,"esteril","peruano",0.4335,"si","25/08",3,77.5,1.022
3,102,"inoculo","negro",0.3544,"si","25/08",3,25.5,0.5259
3,104,"inoculo","negro",0.3317,"si","25/08",3,54.5,0.8261
3,105,"inoculo","negro",0.1777,"si","01/09",5,36.5,0.1441
3,106,"inoculo","negro",0.3191,"si","23/08",2,82.5,1.0741
3,108,"inoculo","negro",0.4866,"si","25/08",3,63.5,0.9963
3,109,"inoculo","negro",0.2508,"si","25/08",3,29,0.567
3,111,"inoculo","peruano",0.2842,"si","25/08",3,86,0.7292
3,112,"inoculo","peruano",0.3087,"si","25/08",3,45,0.7998
3,115,"inoculo","peruano",0.3268,"si","28/08",4,43.5,0.6634
3,116,"inoculo","peruano",0.3328,"si","25/08",3,47,0.6465
3,117,"inoculo","peruano",0.2898,"si","21/08",1,54.5,0.6137
3,118,"inoculo","peruano",0.3699,"si","23/08",2,85,0.8057
