num_frijol,germino,fecha_germinacion,tipo_frijol,tipo_tierra,masa_semilla,altura1,altura2,altura3,altura4,altura5_1,alturaa5_2,altura5_3,herbivoria,Grado_herbivoria,Cambio_color,Grado_coloracion,Enfermedad,Maleza,peso_seco,longitud_raiz_colonizada
1,no,NA,negro,esteril,"0,2543",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
2,si,NA,negro,esteril,"0,2122",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
3,si,8,negro,esteril,"0,2558","4,6","9,2","12,4","15,7","15,8","13,4",12,si,2,no,NA,si,no,"1,1493",NA
4,si,9,negro,esteril,"0,2291","5,3","9,7","13,1",16,"16,2",15,"14,5",si,1,si,2,no,no,"1,1006","2,20%"
5,si,5,negro,esteril,"0,2633","4,4","9,4","12,8","15,8",16,"14,5","14,1",no,NA,si,2,si,no,"1,2186",NA
6,si,NA,peruano,esteril,"0,3781",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
7,no,NA,peruano,esteril,"0,3081",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
8,si,2,peruano,esteril,"0,4073","5,7",10,"13,3","15,7",16,"14,7","13,1",no,NA,no,NA,no,no,"1,216",NA
9,no,NA,peruano,esteril,"0,4567",NA,NA,NA,NA,0,0,0,no,NA,no,NA,no,no,NA,NA
10,si,5,peruano,esteril,"0,3711","6,1","10,3",14,17,"17,5","14,7","14,6",si,1,no,NA,si,no,"1,2494","4,90%"
11,si,8,negro,inoculada,"0,2463","5,8",10,"13,7","16,2",17,"14,3","13,6",si,1,si,2,si,no,"1,3508",NA
12,si,8,negro,inoculada,"0,1956","5,1","9,4","12,6","15,5",16,15,"14,4",si,1,si,2,si,no,"1,1515",NA
13,no,NA,negro,inoculada,"0,2297",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
14,no,NA,negro,inoculada,"0,2375",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
15,si,8,negro,inoculada,"0,2341","4,2","8,3","10,8","13,9","14,5","11,5",11,si,2,si,1,si,no,"1,1505",22%
16,si,2,peruano,inoculada,"0,334","5,7","9,9","12,9",16,"16,3","13,6",13,si,3,si,3,si,no,"1,1302","17,85%"
17,no,NA,peruano,inoculada,"0,4878",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
18,no,NA,peruano,inoculada,"0,2891",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
19,si,8,peruano,inoculada,"0,3533","4,6","8,6",11,"14,3",15,"13,6","13,5",si,1,no,NA,no,no,"1,3375",NA
20,no,NA,peruano,inoculada,"0,279",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
21,no,NA,negro,campus,"0,1901",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
22,no,NA,negro,campus,"0,3289",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
23,no,NA,negro,campus,"0,2684",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
24,si,NA,negro,campus,"0,2039",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
25,si,1,negro,campus,"0,2243","8,1","12,9","17,5","19,8",20,18,"17,9",si,3,no,NA,no,si,"1,174",50%
26,no,NA,peruano,campus,"0,337",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
